10/19-13:35:23.170617,[**],[1:1000105:1],"Suspicious,Portscan,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.170617,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.172038,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.181650,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.215498,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.220763,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.245291,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.290477,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.291885,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:23.342664,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:28.314828,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:28.418606,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:28.568959,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:28.573051,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:28.605436,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:29.063131,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:29.101237,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:29.171562,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:31.963515,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:31.987470,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.007875,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.050268,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.096217,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.127753,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.135462,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.188973,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.250421,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.250422,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.297020,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.326724,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.332890,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.343347,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.345248,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.349537,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.374207,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.409321,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.411840,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
10/19-13:35:32.449938,[**],[1:1000102:1],"SSH,Connection,Attempt,Detected",[**],[Priority:,0],{TCP},192.168.2.11:49699,->,192.168.1.100:22
